name,objra,objdec,C,A,S,nsa_sersic_mass,LogMass,nsa_sersic_ba,nsa_sersic_n,PETRO_TH90,log_age_mean_LW,log_ZH_mean_LW,log_SFR_ssp,log_SFR_Ha,vel_sigma_Re,modelMag_r,sSFR_Ha,sSFR_ssp,Compactness,Morphology_Index,Ellipticity,Z_per_Age,vel_sigma_norm,Central_Brightness,SFR_Consistency,Mass_to_Light,Bulge_Proxy,Mass_Category,Age_Category,Morphology_Category,SFR_Category,Compactness_Quantile,Mass_Category_Ord,Age_Category_Ord,SFR_Category_Ord,Morph_Disco,Morph_Intermedia,Morph_Esferoidal
manga-10001-6102,132.653991697,57.3596675436,0.425269452344479,-0.22557634682384173,-0.05315035154985065,0.23134875154691273,0.23519719638279304,-0.619336843562778,-0.28044264215291254,0.1880775116810442,0.17474310202580703,0.46972108070831176,0.5907208216806178,0.854596645286035,0.2455070577439007,-1.325206792950267,-10.139830386596012,-10.226970590669453,7.978671957579218,3.668,0.522222,-0.024133065326187364,0.2409516685908778,7.060176344562185,0.08714020407344,16.05031554706021,0.5287637065522843,Intermedia,Media,Intermedia,Moderada,2.0,1,1,1,False,True,False
manga-10001-6103,134.008123053,57.3909643699,1.8033515458589098,-0.3232192772412192,-0.28558604407264415,0.6048221270753814,0.6078769317992393,0.8721666038230057,1.1999382712767788,0.45445415354348273,1.535417411057016,1.2666583012964656,-1.0894505210776921,-0.9301516345980755,-0.968774753275254,-0.7353750355025268,-12.553056981434997,-11.705530384353667,8.119751844593498,4.225999999999999,0.20600200000000002,-0.007588746013564552,0.10339634633830082,7.307252849392692,0.8475265970813299,16.523660832142287,0.8940263793347695,Masiva,Vieja,Esferoidal,Pasiva,2.0,2,2,0,False,False,True
manga-10001-6104,136.623724313,56.7963948252,1.2548581330571182,-0.3473823076069475,-0.1188193996069093,1.3600387558721436,1.3571390601302273,-0.5890883615294726,1.2760203609478897,0.6018340178374398,1.4617567494268058,0.9345862477332914,-0.271464050656331,0.010971331174894692,-1.49536604671528,-0.8560410191433752,-11.735311025891338,-11.58990627856239,8.553725907824795,4.1049999999999995,0.515158,-0.01355624802185743,0.03924658172785379,7.0295485078638205,0.14540474732894704,16.978124631985132,0.9051482536448665,Masiva,Vieja,Esferoidal,Moderada,3.0,2,2,1,False,False,True
manga-10001-9101,133.87809679,57.5645448676,-0.645395765364518,0.3011735527746419,0.059930909615261777,-1.0925640388512015,-1.0941551293798726,-0.2057567877757651,-0.5091226952937355,-0.4185943310981431,-1.2604883963571514,-0.8250433044821296,0.8907284618172903,0.656402055418619,0.2637672236056377,0.7920033641951759,-9.331028709521057,-9.049668128050849,7.256191170997326,2.9669999999999996,0.428318,-0.06352982324642728,0.2490190046712566,9.823554326684981,0.2813605814702076,15.9213235676292,0.45928913034962376,Enana,Joven,Disco,Moderada,0.0,0,0,1,True,False,False
manga-10001-9102,135.818210094,56.6253848319,1.0865271863386063,-0.2780817911062397,-0.2552683928552017,0.966609172298539,0.9675860883838165,0.6505496094436689,0.7051971937772824,0.12356369656648382,1.099691817817487,0.6860088985936645,-0.13036542539701643,-0.36608157599511254,-0.17676295999998218,0.1420689800601515,-11.956663682106338,-11.230583967008744,8.507202981300672,3.8639999999999994,0.24946000000000002,-0.018643659941446764,0.1925298175822241,8.542687667275647,0.726079715097594,17.11613804169628,0.8005690550843799,Masiva,Vieja,Esferoidal,Pasiva,3.0,2,2,0,False,False,True
manga-10213-12701,124.129949071,43.7284583177,0.7090487985206062,0.22934985767273652,0.014161877500296396,1.3766915553524928,1.373588466610389,0.3421296385901539,1.2760203609478897,0.6338767336499117,1.1448547054250866,1.4944192701911563,-0.664448770892557,-0.40093118213749207,-1.350062292418279,1.0544869816990268,-12.271784915937767,-11.891930474427166,8.550018964222089,3.765,0.311751,-0.0038690003548467315,0.05694403287136766,8.995468734776244,0.3798544415106,17.78962559761746,0.9051482536448665,Masiva,Vieja,Esferoidal,Pasiva,3.0,2,2,0,False,False,True
manga-10213-12702,124.272776248,43.3509915523,-1.3388281340286206,-0.25013525942492254,-0.3055471289363033,-1.1737952716565199,-1.1759845729457532,-0.9899622186361813,-1.3150923836806008,0.007095578644401823,-1.1782464503619827,-1.0175792585547212,0.6301435844501649,0.1303166097574877,-0.3009030255030758,1.2227776163697774,-9.797937875711355,-9.158471767588537,7.014367335726647,2.3019999999999996,0.611612,-0.07023583072654441,0.18583759360023555,9.882613651168398,0.639466108122818,16.059484002565156,0.23176774270109365,Enana,Joven,Disco,Moderada,0.0,0,0,1,True,False,False
manga-10213-12703,123.132893944,44.3009344657,0.2709635353332239,-0.17970597719200723,0.647929856686663,-0.8827962314213215,-0.8829235645535882,-1.8680328728411202,-1.470297858293528,0.6916412476363281,-0.9423643656157071,-0.45868547493887274,0.3522922429903084,-0.06808420398450668,1.2736312040210325,1.3971705817908826,-10.256480285847084,-9.573066275609419,6.939531687229263,4.135,0.85,-0.05054469940586771,0.35516838537885187,9.343132688411256,0.6834140102376665,16.370408739170628,0.19340420045509443,Intermedia,Joven,Disco,Moderada,0.0,1,0,1,True,False,False
manga-10213-12704,124.485516908,42.8806679257,2.6106158182741503,1.0404493333761826,0.23774569139705257,1.3687183162746723,1.3657130193224891,0.9546088443575076,1.2760203609478897,1.4270066496614506,0.4992656893661888,-0.15099520643373468,-0.18972015213144264,-0.46491165583423083,-0.9309312254069847,-0.034593849586925185,-12.355383920892823,-11.535998286693134,8.173806439738105,4.7410000000000005,0.19009500000000001,-0.03875263582907337,0.10660239648948806,6.869556668397365,0.819385634199689,17.305217899685026,0.9051482536448665,Masiva,Media,Esferoidal,Pasiva,2.0,2,1,0,False,False,True
manga-10213-12705,122.931168093,41.5549778649,0.1947120144265432,0.28978667320852136,0.059930909615261777,0.26034991477768327,0.26418223089492016,-0.12820895878566185,-0.18182304188508006,1.025563291049789,-0.5259645960112345,-0.011585262974299215,0.5350821716967918,0.8058649998487847,-0.4280520832408297,-1.0266701260787856,-10.200593761037343,-10.284749396502267,7.622267130854891,3.492,0.41131300000000004,-0.03686281889585807,0.16657438008955977,6.386630894607212,0.08415563546492291,16.177872900317873,0.5586853818150742,Intermedia,Joven,Intermedia,Moderada,1.0,1,0,1,False,True,False
manga-10213-1901,124.082783686,43.4476368387,2.1702102024791503,-0.25013525942492254,-0.26542409532664885,0.2114579441345602,0.2153132371190675,1.7433447733524587,1.2760203609478897,0.5493506255912531,1.4060288796553064,1.6543445599307,-1.4579554076919516,-0.6855148671341654,-1.4794849773924659,-1.0293299913689338,-11.898929530932204,-11.721613445913244,7.8057571821009315,4.411,0.044281000000000015,-0.001279972355830054,0.04194352308284786,6.9284880460575105,0.1773160850189599,16.142676090983795,0.9051482536448665,Intermedia,Vieja,Esferoidal,Pasiva,1.0,1,2,0,False,False,True
manga-10213-1902,123.453117209,41.6494790245,-0.09771473801072472,0.16940849127538582,-0.08619272801366996,0.621527806732337,0.6245161567999646,0.1982174043724303,-0.44521044758787187,0.6123101311685539,-0.7057446611957642,-0.26127128060481547,1.3939731437440839,1.414027851353265,0.2975521542876812,-1.0410518294956728,-9.985817012558016,-9.973885645740323,8.060616843902427,3.218,0.341596,-0.04411124411086336,0.24496525831992186,6.847193928725644,0.011931366817693023,16.421493399718038,0.47865455323992445,Masiva,Joven,Intermedia,Activa,2.0,2,0,2,False,True,False
manga-10213-3701,122.867048301,43.6383451379,0.7695870808785544,-0.2466328774725419,-0.06421035698752232,1.6149272826519727,1.6085506441320028,1.6329239502476385,1.2760203609478897,0.21387377387086423,0.9023947808826132,1.2247987735221406,0.9568410712998995,1.7062494626051015,-0.678570025661821,0.7280333056009577,-10.437963185339386,-10.90507228556734,8.88763863668597,3.86,0.06405000000000005,-0.008538128317994985,0.13509982808132975,9.083209192016671,0.467109100227953,17.79086108718517,0.9051482536448665,Masiva,Media,Esferoidal,Activa,3.0,2,1,2,False,False,True
manga-10213-3702,122.755283436,44.2220679155,0.22175468134026302,-0.47681052283188247,-0.27553005765072436,1.5488472826957664,1.543447520636644,0.340806766837591,0.6489803420129893,-1.0003257434006767,0.6406962248208603,1.0648639949551435,0.775065846180372,0.06406372737204453,-1.2034295856308843,0.7696873022466808,-11.79394520626402,-10.982420586455467,9.346398939488155,3.412,0.31202300000000005,-0.011569876886224024,0.07436174178402355,10.381966972618368,0.8115246198085546,17.767862277746673,0.7876915007388297,Masiva,Media,Esferoidal,Moderada,3.0,2,1,1,False,False,True
